ランキング,作品名,副題,著者名,アクセス数,作品URL,著者URL
1,こころ,,夏目 漱石,54648,https://www.aozora.gr.jp/cards/000148/card773.html,https://www.aozora.gr.jp/index_pages/person148.html
2,人間失格,,太宰 治,40892,https://www.aozora.gr.jp/cards/000035/card301.html,https://www.aozora.gr.jp/index_pages/person35.html
3,吾輩は猫である,,夏目 漱石,32765,https://www.aozora.gr.jp/cards/000148/card789.html,https://www.aozora.gr.jp/index_pages/person148.html
4,ドグラ・マグラ,,夢野 久作,26779,https://www.aozora.gr.jp/cards/000096/card2093.html,https://www.aozora.gr.jp/index_pages/person96.html
5,羅生門,,芥川 竜之介,26174,https://www.aozora.gr.jp/cards/000879/card127.html,https://www.aozora.gr.jp/index_pages/person879.html
6,銀河鉄道の夜,,宮沢 賢治,22692,https://www.aozora.gr.jp/cards/000081/card456.html,https://www.aozora.gr.jp/index_pages/person81.html
7,走れメロス,,太宰 治,19746,https://www.aozora.gr.jp/cards/000035/card1567.html,https://www.aozora.gr.jp/index_pages/person35.html
8,坊っちゃん,,夏目 漱石,19607,https://www.aozora.gr.jp/cards/000148/card752.html,https://www.aozora.gr.jp/index_pages/person148.html
9,蜘蛛の糸,,芥川 竜之介,19220,https://www.aozora.gr.jp/cards/000879/card92.html,https://www.aozora.gr.jp/index_pages/person879.html
10,斜陽,,太宰 治,17710,https://www.aozora.gr.jp/cards/000035/card1565.html,https://www.aozora.gr.jp/index_pages/person35.html
11,檸檬,,梶井 基次郎,17692,https://www.aozora.gr.jp/cards/000074/card424.html,https://www.aozora.gr.jp/index_pages/person74.html
12,人間椅子,,江戸川 乱歩,17213,https://www.aozora.gr.jp/cards/001779/card56648.html,https://www.aozora.gr.jp/index_pages/person1779.html
13,〔雨ニモマケズ〕,,宮沢 賢治,17109,https://www.aozora.gr.jp/cards/000081/card45630.html,https://www.aozora.gr.jp/index_pages/person81.html
14,注文の多い料理店,,宮沢 賢治,16421,https://www.aozora.gr.jp/cards/000081/card43754.html,https://www.aozora.gr.jp/index_pages/person81.html
15,怪人二十面相,,江戸川 乱歩,15811,https://www.aozora.gr.jp/cards/001779/card57228.html,https://www.aozora.gr.jp/index_pages/person1779.html
16,夢十夜,,夏目 漱石,15450,https://www.aozora.gr.jp/cards/000148/card799.html,https://www.aozora.gr.jp/index_pages/person148.html
17,山月記,,中島 敦,15363,https://www.aozora.gr.jp/cards/000119/card624.html,https://www.aozora.gr.jp/index_pages/person119.html
18,蟹工船,,小林 多喜二,15274,https://www.aozora.gr.jp/cards/000156/card1465.html,https://www.aozora.gr.jp/index_pages/person156.html
19,変身,,カフカ フランツ,14005,https://www.aozora.gr.jp/cards/001235/card49866.html,https://www.aozora.gr.jp/index_pages/person1235.html
20,羅生門,,芥川 竜之介,13754,https://www.aozora.gr.jp/cards/000879/card128.html,https://www.aozora.gr.jp/index_pages/person879.html
21,Ｄ坂の殺人事件,,江戸川 乱歩,13482,https://www.aozora.gr.jp/cards/001779/card56650.html,https://www.aozora.gr.jp/index_pages/person1779.html
22,罪と罰,,ドストエフスキー フィヨードル・ミハイロヴィチ,13276,https://www.aozora.gr.jp/cards/000363/card56656.html,https://www.aozora.gr.jp/index_pages/person363.html
23,三四郎,,夏目 漱石,13086,https://www.aozora.gr.jp/cards/000148/card794.html,https://www.aozora.gr.jp/index_pages/person148.html
24,銀河鉄道の夜,,宮沢 賢治,12646,https://www.aozora.gr.jp/cards/000081/card43737.html,https://www.aozora.gr.jp/index_pages/person81.html
25,源氏物語,"01 桐壺",紫式部 ,12031,https://www.aozora.gr.jp/cards/000052/card5016.html,https://www.aozora.gr.jp/index_pages/person52.html
26,草枕,,夏目 漱石,11041,https://www.aozora.gr.jp/cards/000148/card776.html,https://www.aozora.gr.jp/index_pages/person148.html
27,女生徒,,太宰 治,10935,https://www.aozora.gr.jp/cards/000035/card275.html,https://www.aozora.gr.jp/index_pages/person35.html
28,痴人の愛,,谷崎 潤一郎,10372,https://www.aozora.gr.jp/cards/001383/card58093.html,https://www.aozora.gr.jp/index_pages/person1383.html
29,遠野物語,,柳田 国男,10302,https://www.aozora.gr.jp/cards/001566/card52504.html,https://www.aozora.gr.jp/index_pages/person1566.html
30,鼻,,芥川 竜之介,10157,https://www.aozora.gr.jp/cards/000879/card42.html,https://www.aozora.gr.jp/index_pages/person879.html
31,学問のすすめ,,福沢 諭吉,10124,https://www.aozora.gr.jp/cards/000296/card47061.html,https://www.aozora.gr.jp/index_pages/person296.html
32,堕落論,,坂口 安吾,10091,https://www.aozora.gr.jp/cards/001095/card42620.html,https://www.aozora.gr.jp/index_pages/person1095.html
33,舞姫,,森 鴎外,9765,https://www.aozora.gr.jp/cards/000129/card2078.html,https://www.aozora.gr.jp/index_pages/person129.html
34,三国志,"01 序",吉川 英治,9428,https://www.aozora.gr.jp/cards/001562/card52409.html,https://www.aozora.gr.jp/index_pages/person1562.html
35,ヴィヨンの妻,,太宰 治,9414,https://www.aozora.gr.jp/cards/000035/card2253.html,https://www.aozora.gr.jp/index_pages/person35.html
36,少女地獄,,夢野 久作,9368,https://www.aozora.gr.jp/cards/000096/card935.html,https://www.aozora.gr.jp/index_pages/person96.html
37,破戒,,島崎 藤村,9062,https://www.aozora.gr.jp/cards/000158/card1502.html,https://www.aozora.gr.jp/index_pages/person158.html
38,少年探偵団,,江戸川 乱歩,8919,https://www.aozora.gr.jp/cards/001779/card56669.html,https://www.aozora.gr.jp/index_pages/person1779.html
39,駈込み訴え,,太宰 治,8824,https://www.aozora.gr.jp/cards/000035/card277.html,https://www.aozora.gr.jp/index_pages/person35.html
40,三国志,"02 桃園の巻",吉川 英治,8753,https://www.aozora.gr.jp/cards/001562/card52410.html,https://www.aozora.gr.jp/index_pages/person1562.html
41,現代語訳　平家物語,"01 第一巻",作者不詳 ,8417,https://www.aozora.gr.jp/cards/001529/card60756.html,https://www.aozora.gr.jp/index_pages/person1529.html
42,春琴抄,,谷崎 潤一郎,8109,https://www.aozora.gr.jp/cards/001383/card56866.html,https://www.aozora.gr.jp/index_pages/person1383.html
43,銀河鉄道の夜,,宮沢 賢治,8093,https://www.aozora.gr.jp/cards/000081/card48222.html,https://www.aozora.gr.jp/index_pages/person81.html
44,桜の森の満開の下,,坂口 安吾,8086,https://www.aozora.gr.jp/cards/001095/card42618.html,https://www.aozora.gr.jp/index_pages/person1095.html
45,或阿呆の一生,,芥川 竜之介,7984,https://www.aozora.gr.jp/cards/000879/card19.html,https://www.aozora.gr.jp/index_pages/person879.html
46,河童,,芥川 竜之介,7922,https://www.aozora.gr.jp/cards/000879/card69.html,https://www.aozora.gr.jp/index_pages/person879.html
47,カラマゾフの兄弟,"01 上",ドストエフスキー フィヨードル・ミハイロヴィチ,7772,https://www.aozora.gr.jp/cards/000363/card42286.html,https://www.aozora.gr.jp/index_pages/person363.html
48,高瀬舟,,森 鴎外,7771,https://www.aozora.gr.jp/cards/000129/card45245.html,https://www.aozora.gr.jp/index_pages/person129.html
49,心理試験,,江戸川 乱歩,7643,https://www.aozora.gr.jp/cards/001779/card56646.html,https://www.aozora.gr.jp/index_pages/person1779.html
50,風立ちぬ,,堀 辰雄,7603,https://www.aozora.gr.jp/cards/001030/card4803.html,https://www.aozora.gr.jp/index_pages/person1030.html
