ランキング,作品名,副題,著者名,アクセス数,作品URL,著者URL
1,〔雨ニモマケズ〕,,宮沢 賢治,329655,https://www.aozora.gr.jp/cards/000081/card45630.html,https://www.aozora.gr.jp/index_pages/person81.html
2,走れメロス,,太宰 治,253431,https://www.aozora.gr.jp/cards/000035/card1567.html,https://www.aozora.gr.jp/index_pages/person35.html
3,こころ,,夏目 漱石,229964,https://www.aozora.gr.jp/cards/000148/card773.html,https://www.aozora.gr.jp/index_pages/person148.html
4,山月記,,中島 敦,214078,https://www.aozora.gr.jp/cards/000119/card624.html,https://www.aozora.gr.jp/index_pages/person119.html
5,羅生門,,芥川 竜之介,193606,https://www.aozora.gr.jp/cards/000879/card127.html,https://www.aozora.gr.jp/index_pages/person879.html
6,銀河鉄道の夜,,宮沢 賢治,170405,https://www.aozora.gr.jp/cards/000081/card456.html,https://www.aozora.gr.jp/index_pages/person81.html
7,吾輩は猫である,,夏目 漱石,158037,https://www.aozora.gr.jp/cards/000148/card789.html,https://www.aozora.gr.jp/index_pages/person148.html
8,夢十夜,,夏目 漱石,135089,https://www.aozora.gr.jp/cards/000148/card799.html,https://www.aozora.gr.jp/index_pages/person148.html
9,やまなし,,宮沢 賢治,132078,https://www.aozora.gr.jp/cards/000081/card46605.html,https://www.aozora.gr.jp/index_pages/person81.html
10,人間失格,,太宰 治,125129,https://www.aozora.gr.jp/cards/000035/card301.html,https://www.aozora.gr.jp/index_pages/person35.html
11,駈込み訴え,,太宰 治,118883,https://www.aozora.gr.jp/cards/000035/card277.html,https://www.aozora.gr.jp/index_pages/person35.html
12,注文の多い料理店,,宮沢 賢治,117119,https://www.aozora.gr.jp/cards/000081/card43754.html,https://www.aozora.gr.jp/index_pages/person81.html
13,蜘蛛の糸,,芥川 竜之介,115961,https://www.aozora.gr.jp/cards/000879/card92.html,https://www.aozora.gr.jp/index_pages/person879.html
14,檸檬,,梶井 基次郎,113313,https://www.aozora.gr.jp/cards/000074/card424.html,https://www.aozora.gr.jp/index_pages/person74.html
15,坊っちゃん,,夏目 漱石,109634,https://www.aozora.gr.jp/cards/000148/card752.html,https://www.aozora.gr.jp/index_pages/person148.html
16,ドグラ・マグラ,,夢野 久作,107841,https://www.aozora.gr.jp/cards/000096/card2093.html,https://www.aozora.gr.jp/index_pages/person96.html
